pond_density,density_score,pond_area,area_score,SI9_oldham,SI9_lee,presence
19.01776378,1,1024.96841,0.948240084,1,0.65,2
21.03519889,1,37.47429,0.07494858,1,0.8,2
20.57791798,1,56.79594,0.11359188,1,0.8,2
20.81987821,1,65.70306,0.13140612,1,0.85,2
20.97551341,1,37.33763,0.07467526,1,0.85,2
21.02404911,1,28.30485,0.0566097,1,0.85,2
18.90083091,1,600.22768,1,1,0.75,2
20.82102366,1,56.17563,0.11235126,1,0.75,2
21.10956941,1,39.87978,0.07975956,1,0.75,2
20.61668579,1,103.99727,0.20799454,1,0.75,2
16.34452987,1,3954.32467,0.50230711,1,0.75,2
21.18893095,1,22.7215,0.045443,1,0.8,2
18.97343129,1,944.19668,0.960535884,1,0.75,2
20.37681302,1,174.47663,0.34895326,1,0.85,2
21.04831301,1,35.6144,0.0712288,1,0.75,2
20.5499072,1,114.17063,0.22834126,1,0.75,2
16.01436724,1,4452.97018,0.426398802,1,0.75,2
19.49418992,1,531.785,1,1,0.85,2
19.89482109,1,320.11752,0.64023504,1,0.7,2
19.46870041,1,466.25814,0.93251628,1,0.85,2
19.06370461,1,820.69865,0.979335865,0.855807228,0.65,2
20.00536663,1,245.31663,0.49063326,1,0.75,2
10.43352182,1,19694.78587,0,1,0.75,2
16.37708976,1,4538.13937,0.413433582,1,0.8,2
20.98902895,1,46.68919,0.09337838,1,0.8,2
20.8095415,1,68.19135,0.1363827,1,0.75,2
20.56751602,1,72.13052,0.14426104,1,0.75,2
20.33425312,1,161.26396,0.32252792,1,0.75,2
18.86467798,1,800.83918,0.982359052,1,0.65,2
18.28800792,1,186.25367,0.37250734,1,0.65,2
18.62078594,1,782.1544,0.985203418,1,0.75,2
18.37598072,1,548.28934,1,1,0.75,2
20.61703289,1,94.00666,0.18801332,1,0.75,2
20.7920405,1,59.63245,0.1192649,1,0.75,2
20.17573437,1,205.60804,0.41121608,1,0.85,2
20.17160167,1,209.15163,0.41830326,1,0.75,2
20.19778074,1,116.54341,0.23308682,1,0.8,2
20.89192738,1,47.88755,0.0957751,1,0.75,2
15.21192076,1,5537.89991,0.261241035,1,0.75,2
20.94363978,1,55.60629,0.11121258,1,0.75,2
19.04358177,1,582.06113,1,1,0.75,2
19.94981404,1,356.27155,0.7125431,1,0.8,2
19.90756633,1,254.41277,0.50882554,1,0.8,2
21.28500893,1,23.32405,0.0466481,1,0.8,2
20.72031122,1,89.17001,0.17834002,1,0.8,2
17.01228071,1,1249.34755,0.914083072,1,0.75,2
20.71485335,1,80.48347,0.16096694,1,0.85,2
20.26582503,1,181.75236,0.36350472,1,0.75,2
21.27341996,1,14.03242,0.02806484,1,0.8,2
21.095939,1,32.70595,0.0654119,1,0.8,2
21.30792291,1,13.93479,0.02786958,1,0.8,2
21.03159986,1,35.97997,0.07195994,1,0.75,2
20.72729214,1,54.88041,0.10976082,0.97127783,0.75,2
20.75503488,1,72.27097,0.14454194,1,0.75,2
20.63081403,1,125.53381,0.25106762,1,0.75,2
20.3450398,1,187.00388,0.37400776,1,0.8,2
20.99696347,1,34.8621,0.0697242,1,0.8,2
21.02860806,1,30.56962,0.06113924,1,0.8,2
20.25948277,1,216.60574,0.43321148,1,0.75,2
15.36952826,1,3365.18559,0.591991163,1,0.8,2
18.85096015,1,1021.11597,0.948826537,1,0.8,2
16.6055865,1,3886.57695,0.512620277,1,0.75,2
20.43848223,1,140.1191,0.2802382,1,0.75,2
20.50131928,1,130.80934,0.26161868,1,0.85,2
20.63183877,1,96.92574,0.19385148,1,0.8,2
20.95287534,1,48.39056,0.09678112,1,0.8,2
20.43137778,1,175.47613,0.35095226,1,0.8,2
21.12679633,1,22.22774,0.04445548,1,0.8,2
20.85262654,1,54.94803,0.10989606,1,0.8,2
21.18009424,1,18.05048,0.03610096,1,0.8,2
20.95920364,1,33.24806,0.06649612,1,0.75,2
20.6870118,1,78.08179,0.15616358,1,0.8,2
20.85146685,1,55.01223,0.11002446,1,0.75,2
19.16423435,1,880.20913,0.970276644,1,0.75,2
20.24422172,1,241.16936,0.48233872,1,0.75,2
19.47152718,1,460.91332,0.92182664,1,0.8,2
21.12486606,1,23.45063,0.04690126,1,0.75,2
20.84766417,1,61.94012,0.12388024,1,0.75,2
